TITLE,FROM/COMPOSER,URL,CLAIM,RATING
How Far I'll Go,Moana,"""https://www.scribd.com/document/455355919""",Walt Disney Music Company (ASCAP),2.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/394513841""",Walt Disney Music Company (ASCAP),2.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/369611857""",Walt Disney Music Company (ASCAP),2.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/372877300""",Walt Disney Music Company (ASCAP),2.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/370528642""",Walt Disney Music Company (ASCAP),1.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/373199963""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/401314274""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/370801611""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/454985709""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/360691635""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/370771431""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/458125376""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/350169055""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/351380783""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/363955393""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/383361717""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/335689377""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/349085230""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/389083897""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/389873203""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/359265513""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/376596390""",Walt Disney Music Company (ASCAP),2.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/467360157""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/352925044""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/380900042""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/407004046""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/350648726""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/427599873""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/368106403""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/456777222""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/478321236""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/344208847""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/368313208""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/465574856""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/375044596""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/418795546""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/402537069""",Walt Disney Music Company (ASCAP),1.5
How Far I'll Go,Moana,"""https://www.scribd.com/document/445786240""",Walt Disney Music Company (ASCAP),1
How Far I'll Go,Moana,"""https://www.scribd.com/document/370528979""",Walt Disney Music Company (ASCAP),1.0
How Far I'll Go,Moana,"""https://www.scribd.com/document/385923361""",Walt Disney Music Company (ASCAP),1
I Just Can't Wait to be King,Lion King,"""https://www.scribd.com/document/361785418""","Wonderland Music Company, Inc. (BMI)",2.0
I Just Can't Wait to be King,Lion King,"""https://www.scribd.com/document/438558199""","Wonderland Music Company, Inc. (BMI)",1.5I See the Light,Tangled,"""https://www.scribd.com/document/455467531""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/338310847""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1.5
I See the Light,Tangled,"""https://www.scribd.com/document/157072768""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/230265721""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/362193840""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1.5
I See the Light,Tangled,"""https://www.scribd.com/document/413434185""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/383573987""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",2.0
I See the Light,Tangled,"""https://www.scribd.com/document/463629025""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/324923941""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/370692597""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/419797433""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",2.0
I See the Light,Tangled,"""https://www.scribd.com/document/386323292""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/334934233""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1.5
I See the Light,Tangled,"""https://www.scribd.com/document/359529941""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",2.0
I See the Light,Tangled,"""https://www.scribd.com/document/365132433""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/394957114""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/455467531""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/338310847""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1.5
I See the Light,Tangled,"""https://www.scribd.com/document/157072768""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/230265721""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/362193840""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1.5
I See the Light,Tangled,"""https://www.scribd.com/document/413434185""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/383573987""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",2.0
I See the Light,Tangled,"""https://www.scribd.com/document/463629025""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/324923941""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/370692597""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/419797433""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",2.0
I See the Light,Tangled,"""https://www.scribd.com/document/386323292""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/334934233""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1.5
I See the Light,Tangled,"""https://www.scribd.com/document/359529941""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",2.0
I See the Light,Tangled,"""https://www.scribd.com/document/365132433""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
I See the Light,Tangled,"""https://www.scribd.com/document/394957114""","Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)",1
